year,geoseries,pub,%
2006,1,1,0.0%
2007,1,1,0.0%
2008,19,18,0.1%
2009,35,30,0.2%
2010,136,131,0.6%
2011,309,272,1.3%
2012,567,514,2.4%
2013,1040,954,4.5%
2014,1736,1550,7.5%
2015,2405,2096,10.3%
2016,4887,4380,21.0%
2017,5286,4396,22.7%
2018,6828,5294,29.4%
